cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,24.35,116.4,226.6,0.1053,27.3,6.212,5.568,3.413,4.251,0.0,0.0,0.8274,3.37,3.723,1.007,6.677,1.071,1.07,2.933,3.819,0.0,0.0,0.8274,3.37,3.723,1.007,6.677,1.071,1.07,2.933,3.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.17,22.34,6.249,280.0,97.11,2.02,5.934,4.183,3.954,0.0,0.0,2.499,15.88,12.47,53.19,1.271,0.1215,0.1531,0.2305,0.3033,7.206E-9,0.0,4.7999999999999994E8,19730.0,9585.0,1789.0,31610.0,2468.0,218.2,456.6,340.1,195.2,1.529E-8,0.0,0.0,4.826E-4,0.001568,0.001003,0.001942,0.006979,3.785E-4,5.847E-4,0.001442,5.544E-4,0.0,0.0,4.493E-8,6.99E-7,2.279E-6,2.641E-9,7.157E-7,1.005E-7,7.868E-8,9.002E-8,9.108E-8,1.0E-4,0.0,0.0,149100.0,164500.0,56630.0,2.311E7,166700.0,27750.0,42620.0,58760.0,60550.0,0.0,0.0,1.531E-34,8.915E-35,1.585E-35,7.334E-35,8.568E-37,5.931E-38,7.814E-38,8.325E-38,8.89E-38,0.01,0.0,0.0,8.204,27.0,21.21,4.727,2.0,0.3965,0.5096,0.2116,0.1836,0.0,0.0,0.001294,5.417E-4,6.12E-4,0.9912,0.001433,6.305E-4,0.001037,0.001617,0.001653,0.0,1.0E-5,0.5108,1.076,0.7216,9.987,3.21,0.1261,0.1676,0.1659,0.1565,
0.0,3.308,22.91,46.16,97.77,5.264,42.35,4.264,4.868,2.68,3.894,0.0,0.3188,1.907,2.86,2.89,1.14,5.981,0.4559,1.583,0.4987,6.861,0.0,0.3188,1.907,2.86,2.89,1.14,5.981,0.4559,1.583,0.4987,6.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.07,18.21,5.574,285.5,96.16,2.123,6.024,4.25,4.07,0.0,2.915,64.85,75.27,65.88,54.86,2.191,0.1301,0.1532,0.2311,0.3034,7.181E-9,0.0,4.7999999999999994E8,17900.0,9313.0,2950.0,31900.0,2652.0,232.1,489.5,380.4,406.3,1.534E-8,0.0,1.603E-4,9.558E-4,0.001245,8.643E-4,0.002005,0.006725,2.753E-4,7.195E-4,4.941E-4,0.001485,0.0,2.424E-8,5.955E-7,1.258E-6,1.242E-6,5.104E-8,5.872E-7,9.613E-8,7.532E-8,8.612E-8,8.741E-8,1.0E-4,0.0,1345.0,201900.0,163300.0,82520.0,2.109E7,160400.0,25270.0,39830.0,54220.0,56280.0,0.0,1.867E-36,1.023E-34,7.222E-35,3.261E-35,7.153E-35,3.2080000000000004E-36,1.6999999999999999E-37,2.531E-37,1.235E-37,1.1130000000000001E-36,0.01,0.0,0.5654,15.07,21.19,16.53,5.643,4.374,0.236,0.4655,0.1589,0.2102,0.0,0.0,0.001294,5.417E-4,6.12E-4,0.9912,0.001433,6.305E-4,0.001037,0.001617,0.001653,0.0,0.08113,0.8372,0.8578,0.5616,9.995,3.134,0.131,0.1809,0.1731,0.1697,
0.0,9.686,5.777,27.43,130.2,0.4944,21.83,2.798,4.445,2.215,3.713,0.0,0.571,0.8923,3.646,3.393,0.8101,4.675,0.3495,1.156,0.4777,8.478,0.0,0.571,0.8923,3.646,3.393,0.8101,4.675,0.3495,1.156,0.4777,8.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.09,17.16,2.894,307.0,93.44,1.447,5.504,3.318,3.137,0.0,31.25,24.86,33.55,174.9,23.62,1.131,0.2018,0.08,0.1459,0.1628,7.164E-9,0.0,4.7999999999999994E8,18130.0,8431.0,2251.0,33470.0,2576.0,211.0,477.7,331.5,402.9,1.538E-8,0.0,2.657E-4,9.569E-4,0.001213,8.106E-4,0.002123,0.006603,2.714E-4,7.201E-4,4.96E-4,0.001455,0.0,8.381E-8,3.646E-8,1.555E-6,1.595E-6,3.335E-8,4.45E-7,8.737E-8,7.145E-8,8.352E-8,8.593E-8,5.36E-4,0.0,6708.0,158200.0,120200.0,55640.0,1.988E7,192700.0,28630.0,41700.0,55470.0,60510.0,0.0,6.638E-36,8.167E-35,1.177E-34,4.7440000000000003E-35,2.669E-35,1.757E-36,7.037E-38,2.493E-37,8.259E-38,1.0100000000000001E-36,0.01,0.0,2.36,7.153,27.97,21.25,2.056,2.241,0.1012,0.4238,0.1072,0.1849,0.0,0.0,5.913E-4,4.834E-4,6.152E-4,0.9849,0.005968,0.001142,0.001526,0.002273,0.002524,0.0,0.1456,0.808,0.7793,0.4697,10.54,2.816,0.1215,0.1572,0.1559,0.1123,
