R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.7E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,1.0,0.0043,0.0,0.0,0.0,270.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,2.0,2.3E-6,0.0,0.0,0.0,31000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,2.0,4.5E-5,0.0,0.0,0.0,65000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,2.0,1.4E-4,0.0,0.0,0.0,84000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,4.0,4.3E-4,0.0,0.0,0.0,110000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,7.0,9.1E-4,0.0,0.0,0.0,130000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,9.0,0.0017,0.0,0.0,0.0,140000.0,1.0,5.0E8,
3.2E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,36.0,0.0,0.0,0.0,11.0,0.003,0.0,0.0,0.0,160000.0,1.0,5.0E8,
3.2E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,36.0,0.0,0.0,0.0,11.0,0.0046,0.0,0.0,0.0,170000.0,1.0,5.0E8,
3.2E-10,11.0,3599999.9999999995,100000.0,350.0,87000.0,0.0,1100.0,1400.0,1800.0,2200.0,8.5,3799999.9999999995,110.0,1.4,1.4,0.0,46.0,0.41,190000.0,1.2E-15,5.899999999999999E-26,280000.0,1.0,5.1E8,
2.4E-11,0.88,3199999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.4,3199999.9999999995,8.4,0.49,0.49,0.0,48.0,0.014,190000.0,4.2E-14,5.6999999999999995E-25,270000.0,1.0,5.1E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.4,3099999.9999999995,8.2,0.48,0.48,0.0,50.0,0.011,180000.0,2.7E-13,5.5999999999999996E-24,260000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.0092,180000.0,1.0E-12,3.5E-23,250000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.0098,180000.0,2.2E-12,1.1E-22,250000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.012,180000.0,3.7E-12,2.6E-22,260000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.015,180000.0,5.6E-12,5.4E-22,270000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.02,180000.0,7.9E-12,1.0E-21,280000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.028,180000.0,1.1E-11,1.8E-21,300000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.038,180000.0,1.4E-11,3.1E-21,310000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.052,180000.0,1.7E-11,5.1E-21,330000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.033,180000.0,2.7E-11,7.7E-21,310000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.027,180000.0,4.0E-11,1.1E-20,300000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.028,180000.0,5.5E-11,1.6E-20,300000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.033,180000.0,7.2E-11,2.2E-20,310000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.041,180000.0,9.2E-11,3.1E-20,320000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.052,180000.0,1.1E-10,4.5E-20,330000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.069,180000.0,1.4E-10,6.4E-20,340000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.1,0.48,0.48,0.0,51.0,0.091,180000.0,1.6E-10,9.1E-20,360000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.066,180000.0,1.8E-10,1.2E-19,340000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.047,180000.0,2.1E-10,1.5E-19,320000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.043,180000.0,2.4E-10,1.8E-19,320000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.046,180000.0,2.7E-10,2.1E-19,320000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.055,180000.0,3.1E-10,2.5E-19,330000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.068,180000.0,3.5E-10,3.1E-19,340000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.1,0.48,0.48,0.0,51.0,0.087,180000.0,3.9E-10,3.7E-19,360000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.1,0.48,0.48,0.0,51.0,0.11,180000.0,4.4E-10,4.6E-19,370000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.1,0.48,0.48,0.0,51.0,0.11,180000.0,4.8E-10,5.7E-19,370000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.066,180000.0,5.2E-10,6.6E-19,340000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.055,180000.0,5.6E-10,7.5E-19,330000.0,1.0,5.0E8,
2.4E-11,0.86,2999999.9999999995,4600.0,350.0,3900.0,0.0,1100.0,1400.0,1800.0,2200.0,8.3,3099999.9999999995,8.2,0.48,0.48,0.0,51.0,0.055,180000.0,6.1E-10,8.3E-19,330000.0,1.0,5.0E8,
9.5E-10,35.0,3699999.9999999995,300000.0,7700.0,21000.0,0.0,1100.0,1400.0,1800.0,2200.0,11.0,3999999.9999999995,300.0,3.4,3.4,0.0,68.0,0.2,390000.0,8.9E-5,4.9E-9,350000.0,1.0,5.1E8,
2.6E-10,9.8,3699999.9999999995,81000.0,180.0,13000.0,0.0,1100.0,1400.0,1800.0,2200.0,10.0,3799999.9999999995,84.0,1.3,1.3,0.0,69.0,0.54,380000.0,8.9E-5,1.4E-9,340000.0,1.0,5.1E8,
2.2E-11,0.82,3499999.9999999995,3400.0,180.0,13000.0,0.0,1100.0,1400.0,1800.0,2200.0,10.0,3499999.9999999995,7.4,0.57,0.57,0.0,69.0,0.034,380000.0,8.8E-5,1.1E-10,320000.0,1.0,5.1E8,
2.1E-11,0.77,3099999.9999999995,3400.0,180.0,13000.0,0.0,1100.0,1400.0,1800.0,2200.0,10.0,3199999.9999999995,7.0,0.53,0.53,0.0,69.0,0.024,380000.0,8.8E-5,1.1E-10,300000.0,1.0,5.1E8,
2.1E-11,0.77,3099999.9999999995,3400.0,180.0,13000.0,0.0,1100.0,1400.0,1800.0,2200.0,10.0,3099999.9999999995,7.0,0.53,0.53,0.0,69.0,0.02,380000.0,8.7E-5,1.1E-10,290000.0,1.0,5.0E8,
7.7E-10,36.0,3699999.9999999995,390000.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,4099999.9999999995,360.0,3.9,3.9,0.0,80.0,0.044,390000.0,1.9E-4,1.1E-8,290000.0,1.0,5.1E8,
3.2E-10,15.0,3699999.9999999995,160000.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3899999.9999999995,150.0,1.9,1.9,0.0,81.0,0.34,390000.0,1.8E-4,4.7E-9,280000.0,1.0,5.1E8,
4.5E-11,2.0,3699999.9999999995,18000.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3699999.9999999995,21.0,0.67,0.67,0.0,81.0,0.033,390000.0,1.8E-4,6.6E-10,270000.0,1.0,5.1E8,
9.6E-12,0.44,3599999.9999999995,440.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3599999.9999999995,4.5,0.51,0.51,0.0,81.0,0.006,390000.0,1.8E-4,1.4E-10,260000.0,1.0,5.1E8,
9.1E-12,0.42,3399999.9999999995,440.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3399999.9999999995,4.3,0.49,0.49,0.0,83.0,0.0051,380000.0,1.8E-4,1.3E-10,250000.0,1.0,5.1E8,
8.5E-12,0.39,3099999.9999999995,440.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,4.0,0.47,0.47,0.0,83.0,0.0043,380000.0,1.8E-4,1.3E-10,250000.0,1.0,5.0E8,
8.5E-12,0.39,3099999.9999999995,440.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,4.0,0.47,0.47,0.0,85.0,0.0043,380000.0,1.8E-4,1.3E-10,250000.0,1.0,5.0E8,
8.5E-12,0.39,3099999.9999999995,430.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,4.0,0.47,0.47,0.0,86.0,0.0052,380000.0,1.8E-4,1.3E-10,260000.0,1.0,5.0E8,
8.5E-12,0.39,3099999.9999999995,430.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,4.0,0.47,0.47,0.0,86.0,0.0069,380000.0,1.8E-4,1.3E-10,270000.0,1.0,5.0E8,
8.5E-12,0.39,3099999.9999999995,430.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,4.0,0.47,0.47,0.0,86.0,0.0097,380000.0,1.8E-4,1.3E-10,280000.0,1.0,5.0E8,
8.5E-12,0.39,3099999.9999999995,430.0,740.0,13000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,4.0,0.46,0.46,0.0,87.0,0.014,380000.0,1.8E-4,1.2E-10,300000.0,1.0,5.0E8,
8.5E-12,0.39,310000.0,430.0,740.0,2800000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,4.0,0.46,0.46,0.0,87.0,0.021,380000.0,1.8E-4,1.2E-10,320000.0,1.0,5.0E8,
8.5E-12,0.39,310000.0,430.0,740.0,2800000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,4.0,0.46,0.46,0.0,87.0,0.03,380000.0,1.8E-4,1.2E-10,340000.0,1.0,5.0E8,
8.5E-12,0.39,310000.0,430.0,740.0,2800000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,4.0,0.46,0.46,0.0,87.0,0.042,380000.0,1.8E-4,1.2E-10,360000.0,1.0,5.0E8,
8.5E-12,0.39,310000.0,430.0,740.0,2800000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,0.0077,0.46,0.46,0.0,86.0,4.0,380000.0,1.8E-4,1.2E-10,1999999.9999999998,1.0,5.0E8,
8.5E-12,0.39,300000.0,430.0,740.0,2800000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,7.9E-4,0.46,0.46,0.0,85.0,4.0,380000.0,1.8E-4,1.2E-10,3499999.9999999995,1.0,5.0E8,
8.4E-12,0.39,300000.0,430.0,730.0,2800000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,3.0E-4,0.46,0.46,0.0,87.0,4.0,380000.0,1.8E-4,1.2E-10,4900000.0,1.0,5.0E8,
8.4E-12,0.39,300000.0,430.0,730.0,2800000.0,0.0,1100.0,1400.0,1700.0,2200.0,11.0,3099999.9999999995,1.6E-4,0.46,0.46,0.0,87.0,4.0,380000.0,1.8E-4,1.2E-10,6099999.999999999,1.0,5.0E8,
