FeEn,LyEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
0.0,0.0,0.0,0.0,37.7389,7047580.0,18438.9,2332.09,22783.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7091130.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,8.88028,0.0,0.0,659.101,1.0,1901.0,5.01055E8,
0.0,0.0,0.0,0.0,37.7389,7037590.0,18412.8,2328.78,22751.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7081080.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,8.88032,0.0,0.0,659.101,1.0,2001.0,5.01106E8,
0.0,0.0,0.0,0.0,37.7389,7037590.0,18412.8,2328.78,22751.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7081080.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,8.88032,0.0,0.0,659.101,1.0,2101.0,5.01106E8,
0.0,0.0,0.0,0.0,37.7389,7022600.0,18373.6,2323.82,22702.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7066000.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,8.88038,0.0,0.0,659.101,1.0,2201.0,5.01181E8,
0.0,0.0,0.0,0.0,37.7389,7022600.0,18373.6,2323.82,22702.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7066000.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,8.88038,0.0,0.0,659.101,1.0,2301.0,5.01181E8,
0.0,0.0,0.0,0.0,37.7389,7017600.0,18360.5,2322.17,22686.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7060970.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,8.88041,0.0,0.0,659.101,1.0,2401.0,5.01206E8,
0.0,0.0,0.0,0.0,37.7389,7012610.0,18347.4,2320.52,22670.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7055950.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,8.88043,0.0,0.0,659.101,1.0,2501.0,5.01231E8,
0.0,0.0,0.0,0.0,37.7389,7012610.0,18347.4,2320.52,22670.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7055950.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,8.88043,0.0,0.0,659.101,1.0,2601.0,5.01231E8,
0.0,0.0,0.0,0.0,37.7389,7002620.0,18321.3,2317.21,22638.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7045890.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,8.88047,0.0,0.0,659.101,1.0,2701.0,5.01282E8,
0.0,0.0,0.0,0.0,37.7389,6992620.0,18295.2,2313.91,22606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7035840.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,8.88051,0.0,0.0,659.101,1.0,2801.0,5.01332E8,
0.0,0.0,0.0,0.0,37.7389,6982630.0,18269.0,2310.6,22573.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7025790.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,8.88056,0.0,0.0,659.101,1.0,2901.0,5.01382E8,
