tick 115001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endosome4L,initMembraneContent,EEA1,0.00588419,exCxEn,8.88E-05,R-TfaEn,1.46E-41,oMHCIEn,4.53E-05,membraneMarker,0,M6PR,150.7536135,cMHCIEn,7.07E-05,R-TfEn,3.82E-42,pepMHCIEn,0,REn,1.77E-06,imCxEn,8.88E-05,,,,,,,,,,
endosome4L,initSolubleContent,povaEn,0,NH3Cy,0,protonEn,2.753191992,FeEn,0,NH3En,0,NH4En,0,ovaEn,0,TfaEn,3.93E-07,solubleMarker,0,mvb,0,bead2,0,bead3,0,bead4,0,TfEn,0,pepEn,0,bead1,0
endosome5k,initOrgProp,area,12566.37061,volume,100530.9649,xcoor,23.12536452,ycoor,17.39586362,pH,7.983528046,,,,,,,,,,,,,,,,,,,,,,
endosome5k,initRabContent,RabI,2513.274123,RabG,1608.495439,RabH,2010.619298,RabE,5147.185404,RabF,1286.796351,,,,,,,,,,,,,,,,,,,,,,
endosome5k,initMembraneContent,EEA1,0.011423282,exCxEn,2.56E-06,R-TfaEn,6.50E-43,oMHCIEn,9.51E-06,membraneMarker,0,M6PR,0.0125777,cMHCIEn,2.13E-06,R-TfEn,3.63E-43,pepMHCIEn,0,REn,1.12E-07,imCxEn,2.56E-06,,,,,,,,,,
endosome5k,initSolubleContent,povaEn,0,NH3Cy,0,protonEn,0.044171428,FeEn,0,NH3En,0,NH4En,0,ovaEn,0,TfaEn,1.28E-09,solubleMarker,0,mvb,0,bead2,0,bead3,0,bead4,0,TfEn,0,pepEn,0,bead1,0
endosome6L,initOrgProp,area,233407.8464,volume,1.04E+07,xcoor,25.59218599,ycoor,16.55300878,pH,9.998490381,,,,,,,,,,,,,,,,,,,,,,
endosome6L,initRabContent,RabI,5806.99501,RabG,5371.650055,RabH,6439.79583,RabE,10492.15428,RabF,3385.294255,RabC,4948.300274,RabD,186545.3826,RabA,5818.378863,RabB,4599.895252,,,,,,,,,,,,,,
endosome6L,initMembraneContent,EEA1,0.038667472,exCxEn,9.06E-08,R-TfaEn,8.08E-44,oMHCIEn,8.08E-07,membraneMarker,0,M6PR,0.306319402,cMHCIEn,5.27E-07,R-TfEn,4.21E-44,pepMHCIEn,0,REn,1.34E-08,imCxEn,9.06E-08,,,,,,,,,,
endosome6L,initSolubleContent,povaEn,0,NH3Cy,0,protonEn,0.048421875,FeEn,0,NH3En,0,NH4En,0,ovaEn,0,TfaEn,4.25E-09,solubleMarker,0,mvb,12.25832382,bead2,0,bead3,0,bead4,0,TfEn,0,pepEn,0,bead1,0
