R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.7999999999999998E-35,0.82,2999999.9999999995,3300.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.2,0.22,0.22,0.0,32.0,0.019,0.0,0.0,0.0,280000.0,1.0,5.0E8,
1.7999999999999998E-35,0.82,2999999.9999999995,3300.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.2,0.22,0.22,0.0,32.0,0.016,0.0,0.0,0.0,270000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2999999.9999999995,4500.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.013,0.0,0.0,0.0,260000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2999999.9999999995,4500.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.01,0.0,0.0,0.0,250000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2999999.9999999995,4500.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.01,0.0,0.0,0.0,250000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2999999.9999999995,4500.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.012,0.0,0.0,0.0,250000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2999999.9999999995,4500.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.014,0.0,0.0,0.0,260000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2999999.9999999995,4500.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.019,0.0,0.0,0.0,270000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2999999.9999999995,4500.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.025,0.0,0.0,0.0,290000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2999999.9999999995,4500.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.033,0.0,0.0,0.0,300000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2899999.9999999995,160000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.045,0.0,0.0,0.0,320000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2899999.9999999995,160000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.026,0.0,0.0,0.0,290000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2899999.9999999995,160000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.021,0.0,0.0,0.0,280000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2899999.9999999995,160000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.021,0.0,0.0,0.0,280000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2899999.9999999995,160000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.023,0.0,0.0,0.0,280000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2899999.9999999995,160000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.028,0.0,0.0,0.0,290000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2899999.9999999995,160000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.035,0.0,0.0,0.0,300000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2899999.9999999995,160000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.045,0.0,0.0,0.0,320000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2899999.9999999995,160000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.058,0.0,0.0,0.0,330000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2700000.0,300000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.042,0.0,0.0,0.0,310000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2700000.0,300000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.029,0.0,0.0,0.0,300000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2700000.0,300000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.026,0.0,0.0,0.0,290000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2700000.0,300000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.028,0.0,0.0,0.0,290000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2700000.0,300000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.032,0.0,0.0,0.0,300000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2700000.0,300000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.04,0.0,0.0,0.0,310000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2700000.0,300000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.05,0.0,0.0,0.0,320000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2700000.0,300000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.1,0.23,0.23,0.0,35.0,0.064,0.0,0.0,0.0,330000.0,1.0,5.0E8,
