R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.7E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,1.0,0.0043,0.0,0.0,0.0,270.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,4.0,4.3E-6,0.0,0.0,0.0,37000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,4.0,3.4E-5,0.0,0.0,0.0,61000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,4.0,1.7E-4,0.0,0.0,0.0,88000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,4.0,3.7E-4,0.0,0.0,0.0,100000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,7.0,8.1E-4,0.0,0.0,0.0,120000.0,1.0,5.0E8,
2.3E-34,11.0,3099999.9999999995,110000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3199999.9999999995,110.0,0.91,0.91,0.0,12.0,0.018,0.0,0.0,0.0,140000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,70000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,74.0,0.67,0.67,0.0,17.0,0.0032,0.0,0.0,0.0,140000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,70000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,74.0,0.67,0.67,0.0,19.0,0.0047,0.0,0.0,0.0,150000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,70000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,74.0,0.67,0.67,0.0,20.0,0.007,0.0,0.0,0.0,160000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,70000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,74.0,0.67,0.67,0.0,21.0,0.011,0.0,0.0,0.0,180000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,69000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,74.0,0.67,0.67,0.0,22.0,0.016,0.0,0.0,0.0,190000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,69000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,73.0,0.67,0.67,0.0,23.0,0.025,0.0,0.0,0.0,200000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,69000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,73.0,0.67,0.67,0.0,23.0,0.037,0.0,0.0,0.0,220000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,69000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,73.0,0.67,0.67,0.0,23.0,0.054,0.0,0.0,0.0,230000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,69000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,73.0,0.67,0.67,0.0,23.0,0.078,0.0,0.0,0.0,250000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,69000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,73.0,0.67,0.67,0.0,23.0,0.058,0.0,0.0,0.0,240000.0,1.0,5.0E8,
1.6E-34,7.1,2999999.9999999995,69000.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3099999.9999999995,73.0,0.67,0.67,0.0,23.0,0.056,0.0,0.0,0.0,230000.0,1.0,5.0E8,
