FeEn,LyEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
0.0,0.0,0.0,0.0,32.8036,7015540.0,5027.04,5731.15,115147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7141440.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,8.84005,0.0,0.0,733.49,1.0,2001.0,5.08203E8,
0.0,0.0,0.0,0.0,32.8036,7010600.0,5023.5,5727.12,115066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7136420.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,8.84007,0.0,0.0,733.49,1.0,2101.0,5.08228E8,
0.0,0.0,0.0,0.0,32.7696,7020740.0,5019.96,5723.09,99904.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7131390.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,8.83908,0.0,0.0,735.199,1.0,2201.0,5.08244E8,
0.0,0.0,0.0,0.0,32.7696,7015790.0,5016.42,5719.05,99834.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7126360.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,8.8391,0.0,0.0,735.199,1.0,2301.0,5.08269E8,
0.0,0.0,0.0,0.0,32.224,7018380.0,7524.39,5715.02,92229.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7123850.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,8.83481,0.0,0.0,742.607,1.0,2401.0,5.08344E8,
0.0,0.0,0.0,0.0,32.224,7013430.0,7519.08,5710.99,92164.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7118820.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,8.83484,0.0,0.0,742.607,1.0,2501.0,5.08369E8,
0.0,0.0,0.0,0.0,32.224,7013430.0,7519.08,5710.99,92164.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7118820.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,8.83484,0.0,0.0,742.607,1.0,2601.0,5.08369E8,
0.0,0.0,0.0,0.0,32.224,7003530.0,7508.46,5702.92,92034.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7108770.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,8.83488,0.0,0.0,742.607,1.0,2701.0,5.08419E8,
0.0,0.0,0.0,0.0,32.224,7003530.0,7508.46,5702.92,92034.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7108770.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,8.83488,0.0,0.0,742.607,1.0,2801.0,5.08419E8,
0.0,0.0,0.0,0.0,32.224,6998570.0,7503.15,5698.89,91969.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7103740.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,8.8349,0.0,0.0,742.607,1.0,2901.0,5.08445E8,
0.0,0.0,0.0,0.0,32.224,6993620.0,7497.84,5694.86,91904.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7098720.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,8.83492,0.0,0.0,742.607,1.0,3001.0,5.0847E8,
0.0,0.0,0.0,0.0,32.224,6988670.0,7492.53,5690.83,91839.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7093690.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,8.83494,0.0,0.0,742.607,1.0,3101.0,5.08495E8,
0.0,0.0,0.0,0.0,32.224,6973810.0,7476.61,5678.73,91643.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7078610.0,0.0,0.0,0.0,0.0,337.0,0.0,0.0,8.83501,0.0,0.0,742.607,1.0,3201.0,5.0857E8,
0.0,0.0,0.0,0.0,67.282,6972560.0,26243.7,6443.64,188622.0,1999.08,2363.02,4177.21,3776.89,5559.05,0.0,0.0,7211750.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,8.74856,0.0,0.0,914.806,1.0,3301.0,5.13295E8,
0.0,0.0,0.0,0.0,67.282,6967710.0,26225.4,6439.15,188491.0,1997.69,2361.37,4174.3,3774.26,5555.18,0.0,0.0,7206720.0,0.0,0.0,0.0,0.0,526.0,0.0,0.0,8.74859,0.0,0.0,914.806,1.0,3401.0,5.1332E8,
0.0,0.0,0.0,0.0,29.1085,6982780.0,3002.72,7042.34,196031.0,1997.69,2361.37,4174.3,3774.26,5555.18,0.0,0.0,7206720.0,0.0,0.0,0.0,0.0,526.0,0.0,0.0,8.74777,0.0,0.0,916.526,1.0,3501.0,5.1332E8,
0.0,0.0,0.0,0.0,29.1085,6968170.0,2996.43,7027.6,195621.0,1993.51,2356.43,4165.57,3766.36,5543.55,0.0,0.0,7191640.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,8.74783,0.0,0.0,916.526,1.0,3601.0,5.13396E8,
0.0,0.0,0.0,0.0,29.1085,6968170.0,2996.43,7027.6,195621.0,1993.51,2356.43,4165.57,3766.36,5543.55,0.0,0.0,7191640.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,8.74783,0.0,0.0,916.526,1.0,3701.0,5.13396E8,
0.0,0.0,0.0,0.0,29.1085,6968170.0,2996.43,7027.6,195621.0,1993.51,2356.43,4165.57,3766.36,5543.55,0.0,0.0,7191640.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,8.7478,0.0,0.0,916.514,1.0,3801.0,5.13345E8,
0.0,0.0,0.0,0.0,29.1085,6963300.0,2994.34,7022.69,195484.0,1992.11,2354.79,4162.66,3763.73,5539.68,0.0,0.0,7186620.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0,8.74782,0.0,0.0,916.514,1.0,3901.0,5.13371E8,
0.0,0.0,0.0,0.0,29.1085,6953560.0,2990.15,7012.87,195210.0,1989.33,2351.49,4156.83,3758.46,5531.93,0.0,0.0,7176560.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,8.74786,0.0,0.0,916.514,1.0,4001.0,5.13421E8,
0.0,0.0,0.0,0.0,29.1085,6953560.0,2990.15,7012.87,195210.0,1989.33,2351.49,4156.83,3758.46,5531.93,0.0,0.0,7176560.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,8.74786,0.0,0.0,916.514,1.0,4101.0,5.13421E8,
0.0,0.0,0.0,0.0,29.1085,6953560.0,2990.15,7012.87,195210.0,1989.33,2351.49,4156.83,3758.46,5531.93,0.0,0.0,7176560.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,8.74786,0.0,0.0,916.514,1.0,4201.0,5.13421E8,
0.0,0.0,0.0,0.0,29.1085,6948690.0,2988.06,7007.96,195074.0,1987.93,2349.84,4153.92,3755.83,5528.06,0.0,0.0,7171540.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,8.74788,0.0,0.0,916.514,1.0,4301.0,5.13446E8,
0.0,0.0,0.0,0.0,29.1085,6948690.0,2988.06,7007.96,195074.0,1987.93,2349.84,4153.92,3755.83,5528.06,0.0,0.0,7171540.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,8.74788,0.0,0.0,916.514,1.0,4401.0,5.13446E8,
