FeEn,LyEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
0.0,0.0,0.0,0.0,13.6426,7094970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7094970.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,8.89387,0.0,0.0,637.446,1.0,101.0,5.00025E8,
0.0,0.0,0.0,0.0,13.6426,7089950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7089950.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,8.89389,0.0,0.0,637.446,1.0,201.0,5.0005E8,
0.0,0.0,0.0,0.0,13.6426,7079890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7079890.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,8.89393,0.0,0.0,637.446,1.0,301.0,5.00101E8,
0.0,0.0,0.0,0.0,13.6426,7069840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7069840.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,8.89398,0.0,0.0,637.446,1.0,401.0,5.00151E8,
0.0,0.0,0.0,0.0,13.6426,7069840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7069840.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,8.89398,0.0,0.0,637.446,1.0,501.0,5.00151E8,
0.0,0.0,0.0,0.0,38.0553,7098730.0,13888.4,8980.93,22883.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7144480.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,8.87769,0.0,0.0,662.764,1.0,601.0,5.00849E8,
0.0,0.0,0.0,0.0,38.0553,7098730.0,13888.4,8980.93,22883.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7144480.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,8.87769,0.0,0.0,662.764,1.0,701.0,5.00849E8,
0.0,0.0,0.0,0.0,38.0553,7083750.0,13859.0,8961.98,22835.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7129400.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,8.87776,0.0,0.0,662.764,1.0,801.0,5.00925E8,
0.0,0.0,0.0,0.0,38.0689,7086290.0,13849.3,8955.66,22819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7131910.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,8.87664,0.0,0.0,664.58,1.0,901.0,5.01E8,
0.0,0.0,0.0,0.0,38.0689,7081300.0,13839.5,8949.35,22802.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7126890.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,8.87666,0.0,0.0,664.58,1.0,1001.0,5.01025E8,
0.0,0.0,0.0,0.0,38.0689,7076300.0,13829.7,8943.04,22786.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7121860.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,8.87668,0.0,0.0,664.58,1.0,1101.0,5.0105E8,
0.0,0.0,0.0,0.0,38.0689,7076300.0,13829.7,8943.04,22786.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7121860.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,8.87668,0.0,0.0,664.58,1.0,1201.0,5.0105E8,
0.0,0.0,0.0,0.0,38.0689,7066310.0,13810.2,8930.41,22754.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7111810.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,8.87672,0.0,0.0,664.58,1.0,1301.0,5.01101E8,
0.0,0.0,0.0,0.0,38.0689,7056320.0,13790.7,8917.79,22722.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7101760.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,8.87677,0.0,0.0,664.58,1.0,1401.0,5.01151E8,
0.0,0.0,0.0,0.0,38.0689,7051330.0,13780.9,8911.48,22706.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7096730.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,8.87679,0.0,0.0,664.58,1.0,1501.0,5.01176E8,
0.0,0.0,0.0,0.0,38.0689,7041340.0,13761.4,8898.85,22674.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7086680.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,8.87683,0.0,0.0,664.58,1.0,1601.0,5.01226E8,
0.0,0.0,0.0,0.0,38.0689,7026360.0,13732.1,8879.92,22626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7071600.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,8.8769,0.0,0.0,664.58,1.0,1701.0,5.01302E8,
0.0,0.0,0.0,0.0,49.9469,7023920.0,21241.8,8867.32,22593.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7076620.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,8.87462,0.0,0.0,668.286,1.0,1801.0,5.01452E8,
0.0,0.0,0.0,0.0,49.9469,7023920.0,21241.8,8867.32,22593.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7076620.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,8.87462,0.0,0.0,668.286,1.0,1901.0,5.01452E8,
0.0,0.0,0.0,0.0,49.9469,7013940.0,21211.6,8854.72,22561.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7066570.0,0.0,0.0,0.0,0.0,335.0,0.0,0.0,8.87466,0.0,0.0,668.286,1.0,2001.0,5.01503E8,
0.0,0.0,0.0,0.0,40.9295,7016490.0,21196.5,1308.6,22545.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7061540.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,8.87894,0.0,0.0,670.958,1.0,2101.0,5.08495E8,
0.0,0.0,0.0,0.0,40.9295,7006500.0,21166.3,1306.74,22513.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7051490.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,8.87899,0.0,0.0,670.958,1.0,2201.0,5.08545E8,
0.0,0.0,0.0,0.0,40.9295,7006500.0,21166.3,1306.74,22513.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7051490.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,8.87899,0.0,0.0,670.958,1.0,2301.0,5.08545E8,
0.0,0.0,0.0,0.0,40.9295,7001510.0,21151.3,1305.81,22497.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7046460.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,8.87901,0.0,0.0,670.958,1.0,2401.0,5.0857E8,
0.0,0.0,0.0,0.0,40.9295,6991520.0,21121.1,1303.94,22465.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7036410.0,0.0,0.0,0.0,0.0,341.0,0.0,0.0,8.87905,0.0,0.0,670.958,1.0,2501.0,5.08621E8,
0.0,0.0,0.0,0.0,40.9295,6991520.0,21121.1,1303.94,22465.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7036410.0,0.0,0.0,0.0,0.0,341.0,0.0,0.0,8.87905,0.0,0.0,670.958,1.0,2601.0,5.08621E8,
