RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
8222000.0,1813000.0,1218000.0,7169000.0,3573000.0,1952000.0,2542000.0,2212000.0,2260000.0,6.0E7,6.1E7,
8212000.0,1813000.0,1218000.0,7169000.0,3573000.0,1952000.0,2542000.0,2212000.0,2260000.0,6.001E7,6.1E7,
9223000.0,1811000.0,1218000.0,7169000.0,3573000.0,1952000.0,2542000.0,2212000.0,2343000.0,6.001E7,5.998E7,
9234000.0,1810000.0,1218000.0,7159000.0,3539000.0,1952000.0,2542000.0,2212000.0,2375000.0,6.001E7,5.999E7,
9220000.0,1809000.0,1218000.0,7144000.0,3514000.0,1952000.0,2542000.0,2212000.0,2375000.0,6.001E7,6.001E7,
9215000.0,1809000.0,1218000.0,7134000.0,3497000.0,1951000.0,2540000.0,2212000.0,2375000.0,6.001E7,6.003E7,
9264000.0,1807000.0,1218000.0,7129000.0,3472000.0,1951000.0,2540000.0,2212000.0,2470000.0,6.001E7,6.0E7,
9238000.0,1807000.0,1218000.0,7121000.0,3472000.0,1950000.0,2540000.0,2212000.0,2470000.0,6.001E7,6.0E7,
9224000.0,1806000.0,1217000.0,7116000.0,3461000.0,1948000.0,2538000.0,2212000.0,2470000.0,6.001E7,6.001E7,
9217000.0,1803000.0,1217000.0,7116000.0,3402000.0,1946000.0,2538000.0,2212000.0,2470000.0,6.001E7,6.007E7,
9320000.0,1801000.0,1216000.0,7106000.0,3364000.0,1946000.0,2538000.0,2212000.0,2617000.0,6.001E7,5.999E7,
8980000.0,1779000.0,1212000.0,7074000.0,3347000.0,1945000.0,2538000.0,2212000.0,2617000.0,6.001E7,6.038E7,
8958000.0,1778000.0,1212000.0,7066000.0,3291000.0,1944000.0,2537000.0,2212000.0,2617000.0,6.001E7,6.046E7,
9388000.0,1765000.0,1211000.0,7059000.0,3254000.0,1939000.0,2535000.0,2212000.0,2767000.0,6.001E7,6.007E7,
9014000.0,1740000.0,1205000.0,7029000.0,3244000.0,1939000.0,2535000.0,2212000.0,2767000.0,6.001E7,6.047E7,
9451000.0,1724000.0,1201000.0,6994000.0,3234000.0,1937000.0,2532000.0,2212000.0,2880000.0,6.001E7,6.004E7,
9352000.0,1705000.0,1196000.0,6929000.0,3183000.0,1936000.0,2532000.0,2212000.0,2964000.0,6.001E7,6.018E7,
9460000.0,1698000.0,1192000.0,6909000.0,3159000.0,1934000.0,2531000.0,2212000.0,3078000.0,6.001E7,6.01E7,
9278000.0,1695000.0,1191000.0,6894000.0,3137000.0,1932000.0,2529000.0,2212000.0,3078000.0,6.001E7,6.029E7,
9261000.0,1684000.0,1190000.0,6845000.0,3102000.0,1928000.0,2526000.0,2212000.0,3078000.0,6.001E7,6.035E7,
