R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
4.6E-35,3.8,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,3199999.9999999995,52.0,0.0,0.0,0.0,0.0017,0.084,1000000.0,0.0,0.0,710.0,1.0,5.0E8,
3.9E-35,3.7,2999999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2999999.9999999995,50.0,0.0,0.0,0.0,2.0,3.4E-6,990000.0,0.0,0.0,32000.0,1.0,4.9E8,
3.7E-35,3.5,2899999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,2899999.9999999995,48.0,0.0,0.0,0.0,3.0,2.8E-5,940000.0,0.0,0.0,50000.0,1.0,4.6E8,
3.7E-35,3.5,2899999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2899999.9999999995,47.0,0.0,0.0,0.0,4.0,1.5E-4,920000.0,0.0,0.0,72000.0,1.0,4.5E8,
3.7E-35,3.5,2899999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2899999.9999999995,47.0,0.0,0.0,0.0,5.0,4.3E-4,920000.0,0.0,0.0,92000.0,1.0,4.5E8,
3.7E-35,3.5,2899999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2899999.9999999995,47.0,0.0,0.0,0.0,6.0,9.7E-4,920000.0,0.0,0.0,110000.0,1.0,4.5E8,
3.7E-35,3.5,2899999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2899999.9999999995,47.0,0.0,0.0,0.0,7.0,0.0019,920000.0,0.0,0.0,130000.0,1.0,4.5E8,
3.7E-35,3.5,2899999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2899999.9999999995,47.0,0.0,0.0,0.0,8.0,0.0035,920000.0,0.0,0.0,140000.0,1.0,4.5E8,
3.7E-35,3.5,2899999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2899999.9999999995,47.0,0.0,0.0,0.0,10.0,0.0059,920000.0,0.0,0.0,150000.0,1.0,4.5E8,
3.7E-35,3.4,2899999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2899999.9999999995,47.0,0.0,0.0,0.0,12.0,0.0096,920000.0,0.0,0.0,170000.0,1.0,4.5E8,
3.7E-35,3.4,2899999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2899999.9999999995,47.0,0.0,0.0,0.0,12.0,0.015,920000.0,0.0,0.0,180000.0,1.0,4.5E8,
3.7E-35,3.4,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2800000.0,47.0,0.0,0.0,0.0,13.0,0.017,920000.0,0.0,0.0,190000.0,1.0,4.5E8,
3.7E-35,3.4,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2800000.0,47.0,0.0,0.0,0.0,13.0,0.017,920000.0,0.0,0.0,190000.0,1.0,4.5E8,
3.9E-10,44.0,3499999.9999999995,440000.0,20000.0,74000.0,0.0,1100.0,1400.0,1800.0,2200.0,6.6,3999999.9999999995,480.0,5.3,5.3,0.0,37.0,1.4,920000.0,7.8E-11,4.5E-16,270000.0,1.0,4.7E8,
