entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
0.2664,0.2339,0.01687,0.004155,0.00311,0.005726,0.003382,0.001439,6.265E-4,0.002467,0.007136,0.9551,
0.2672,0.2351,0.01686,0.004153,0.003116,0.005725,0.003381,0.001439,6.264E-4,0.002535,0.00721,0.955,
0.2672,0.2357,0.01685,0.00416,0.003118,0.005707,0.003381,0.001439,6.263E-4,0.002657,0.007088,0.955,
0.271,0.2297,0.01683,0.004158,0.00312,0.005702,0.003379,0.001438,6.258E-4,0.002655,0.007892,0.9542,
0.2756,0.2261,0.0168,0.00416,0.003125,0.005696,0.003375,0.001436,6.252E-4,0.002676,0.008874,0.9532,
0.2766,0.2804,0.01618,0.004777,0.003129,0.005696,0.003375,0.001436,7.711E-4,0.002554,0.00885,0.9532,
0.2767,0.2815,0.01617,0.004776,0.00313,0.005687,0.003375,0.001437,7.711E-4,0.002645,0.008759,0.9532,
0.2768,0.2829,0.0163,0.004776,0.003134,0.005669,0.003314,0.001437,7.707E-4,0.002645,0.008759,0.9532,
0.2768,0.2826,0.01629,0.004784,0.003141,0.005669,0.003314,0.001437,7.947E-4,0.002621,0.008759,0.9532,
0.278,0.2824,0.01629,0.004775,0.003149,0.005667,0.003313,0.001436,7.945E-4,0.00268,0.008941,0.953,
0.278,0.2893,0.01618,0.004786,0.00316,0.005748,0.003251,0.001436,8.647E-4,0.002792,0.008758,0.953,
0.2789,0.2812,0.01617,0.00479,0.00316,0.005747,0.003251,0.001436,8.646E-4,0.002883,0.00883,0.9529,
0.2784,0.2825,0.01614,0.004794,0.003066,0.005772,0.003251,0.001436,8.646E-4,0.002883,0.00883,0.953,
0.2784,0.2892,0.01614,0.00479,0.003073,0.005753,0.003213,0.001411,8.883E-4,0.003347,0.008342,0.953,
0.2782,0.2913,0.01614,0.004775,0.003088,0.005754,0.003249,0.001375,8.884E-4,0.003407,0.008233,0.9531,
0.2784,0.2956,0.01613,0.004764,0.003106,0.005754,0.003249,0.001375,9.123E-4,0.003483,0.008133,0.9531,
0.278,0.2985,0.01613,0.004761,0.003113,0.005754,0.00325,0.001375,9.124E-4,0.003539,0.007988,0.9532,
0.2777,0.2961,0.01612,0.004761,0.003118,0.005754,0.003204,0.001351,9.124E-4,0.00362,0.007907,0.9532,
0.2778,0.2967,0.01603,0.004766,0.003131,0.005829,0.003204,0.001351,9.124E-4,0.00362,0.007907,0.9532,
0.2766,0.3105,0.01602,0.004763,0.003148,0.005829,0.004058,4.971E-4,9.124E-4,0.00362,0.007907,0.9532,
0.2775,0.2776,0.01614,0.004758,0.003151,0.005809,0.004008,4.968E-4,9.121E-4,0.003703,0.00797,0.9531,
0.2776,0.3584,0.005753,0.004777,0.003151,0.01618,0.004008,5.121E-4,9.367E-4,0.003823,0.00781,0.9531,
0.2775,0.3611,0.005612,0.004776,0.003157,0.01631,0.004008,5.121E-4,9.367E-4,0.003908,0.007724,0.9531,
0.2776,0.3665,0.005609,0.00477,0.003166,0.01631,0.004008,5.121E-4,0.001007,0.003838,0.007724,0.9531,
0.2778,0.3643,0.005552,0.004774,0.003168,0.01637,0.004008,5.575E-4,9.808E-4,0.004078,0.007465,0.9531,
0.2779,0.3662,0.00555,0.004766,0.003179,0.01637,0.004008,5.575E-4,9.808E-4,0.004232,0.007311,0.9531,
0.2779,0.3684,0.005537,0.004775,0.003182,0.01637,0.004008,5.575E-4,9.808E-4,0.004232,0.007311,0.9531,
0.278,0.3745,0.005497,0.004772,0.003185,0.01641,0.004008,5.575E-4,0.001045,0.004308,0.007172,0.9531,
0.2806,0.3662,0.00568,0.004779,0.003184,0.0164,0.004006,5.573E-4,0.001044,0.00433,0.007493,0.9525,
0.2805,0.3677,0.00565,0.004787,0.003187,0.0164,0.004033,5.307E-4,0.001044,0.00437,0.007454,0.9525,
0.2804,0.3701,0.005578,0.004799,0.003191,0.01646,0.004003,5.665E-4,0.001009,0.004416,0.007408,0.9526,
0.2804,0.3468,0.005567,0.004799,0.003199,0.01644,0.004003,5.665E-4,0.001009,0.004626,0.007198,0.9526,
0.2809,0.3444,0.005558,0.004799,0.003208,0.01644,0.004023,5.699E-4,9.845E-4,0.004814,0.007108,0.9525,
0.2812,0.3453,0.005517,0.004803,0.003223,0.01644,0.004023,5.699E-4,9.845E-4,0.004814,0.007198,0.9524,
0.2813,0.3478,0.005485,0.004803,0.003229,0.01646,0.004023,5.699E-4,0.001036,0.004831,0.00713,0.9524,
