RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
4238000.0,1044000.0,783000.0,1439000.0,849800.0,361700.0,157400.0,637100.0,1812000.0,2.3999999999999997E8,
4236000.0,1045000.0,783500.0,1434000.0,849800.0,361700.0,157400.0,667700.0,1781000.0,2.3999999999999997E8,
4234000.0,1046000.0,784800.0,1434000.0,849800.0,361700.0,157400.0,667700.0,1985000.0,2.3999999999999997E8,
4231000.0,1047000.0,786700.0,1434000.0,849800.0,361700.0,157400.0,673700.0,2234000.0,2.3999999999999997E8,
4074000.0,1203000.0,787700.0,1434000.0,849800.0,361700.0,194100.0,643000.0,2228000.0,2.3999999999999997E8,
4072000.0,1202000.0,788000.0,1432000.0,849800.0,361700.0,194100.0,666000.0,2205000.0,2.3999999999999997E8,
4105000.0,1202000.0,789100.0,1427000.0,834300.0,361700.0,194000.0,665900.0,2205000.0,2.3999999999999997E8,
4101000.0,1205000.0,790800.0,1427000.0,834300.0,361700.0,200100.0,659900.0,2205000.0,2.3999999999999997E8,
4101000.0,1202000.0,792900.0,1427000.0,834300.0,361700.0,200100.0,674900.0,2251000.0,2.3999999999999997E8,
4075000.0,1205000.0,795600.0,1448000.0,818800.0,361700.0,217800.0,703200.0,2205000.0,2.3999999999999997E8,
4073000.0,1206000.0,795900.0,1448000.0,818800.0,361700.0,217800.0,726200.0,2224000.0,2.3999999999999997E8,
4065000.0,1207000.0,772100.0,1454000.0,818800.0,361700.0,217800.0,726200.0,2224000.0,2.3999999999999997E8,
4064000.0,1206000.0,773900.0,1449000.0,809200.0,355400.0,223700.0,842900.0,2101000.0,2.3999999999999997E8,
4064000.0,1203000.0,777700.0,1449000.0,818400.0,346300.0,223700.0,858000.0,2073000.0,2.3999999999999997E8,
4062000.0,1200000.0,782200.0,1449000.0,818400.0,346300.0,229800.0,877100.0,2048000.0,2.3999999999999997E8,
4061000.0,1199000.0,784000.0,1449000.0,818400.0,346300.0,229800.0,891200.0,2012000.0,2.3999999999999997E8,
4060000.0,1199000.0,785200.0,1449000.0,806800.0,340300.0,229800.0,911500.0,1991000.0,2.3999999999999997E8,
4037000.0,1200000.0,788400.0,1468000.0,806800.0,340300.0,229800.0,911500.0,1991000.0,2.3999999999999997E8,
4034000.0,1199000.0,792800.0,1468000.0,1022000.0,125200.0,229800.0,911500.0,1991000.0,2.3999999999999997E8,
4065000.0,1198000.0,793600.0,1463000.0,1009000.0,125100.0,229700.0,932600.0,2007000.0,2.3999999999999997E8,
