cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,0.0,0.7633,9.818,8.213,2.647,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.7633,9.818,8.213,2.647,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,10.69,7.098,336.3,3.173,2.861,3.613,3.258,4.888,0.0,0.0,21.98,26.86,234.0,127.5,0.4807,0.679,1.118,0.8683,1.173,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,0.0,6.590000000000001E-34,2.914E-33,1.097E-33,4.683E-34,1.4429999999999999E-33,1.8240000000000002E-32,2.2180000000000003E-34,9.135999999999999E-33,5.167000000000001E-34,0.01,0.0,0.0,28.39,75.38,29.25,3.949,2.009,3.881,3.645,4.979,5.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,0.02008,372.8,685.8,349.9,3.618,27.07,39.56,36.25,50.95,59.17,0.0,0.0675,0.8541,9.687,8.592,2.643,6.861,16.77,15.59,34.38,26.09,0.0,0.0675,0.8541,9.687,8.592,2.643,6.861,16.77,15.59,34.38,26.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.65,11.04,7.09,332.6,3.155,2.837,3.569,3.229,4.847,0.0,10.13,23.48,31.68,201.9,129.6,0.4685,0.6387,1.101,0.8434,1.161,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,195.0,47720.0,18430.0,17230.0,926200.0,9609.0,12330.0,7564.0,9987.0,10520.0,0.0,1.9E-35,6.714E-34,2.882E-33,1.6709999999999998E-33,4.681000000000001E-34,7.885E-34,1.8240000000000002E-32,2.093E-34,9.13E-33,5.068E-34,0.01,0.0,0.4266,28.66,74.94,29.2,3.939,1.683,3.881,3.64,4.977,5.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02116,9.134,4.958,1.973,12.96,1.091,0.7802,0.2138,0.4886,0.2287,
0.0,0.02008,371.6,684.1,372.9,1.071,27.07,39.6,36.23,50.95,59.17,0.0,0.0675,0.8541,9.687,8.592,2.643,6.861,16.77,15.59,34.38,26.09,0.0,0.0675,0.8541,9.687,8.592,2.643,6.861,16.77,15.59,34.38,26.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.62,11.04,7.042,329.8,3.125,2.809,3.54,3.199,4.802,0.0,10.13,24.71,33.44,178.9,132.1,0.4681,0.6248,1.101,0.8365,1.161,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,195.0,47240.0,18290.0,15910.0,901100.0,9500.0,11920.0,7373.0,9746.0,10340.0,0.0,1.9E-35,6.714E-34,2.8759999999999998E-33,1.511E-33,4.681000000000001E-34,7.793E-34,1.815E-32,2.6610000000000003E-34,9.162999999999999E-33,5.067E-34,0.01,0.0,0.4266,28.66,74.94,29.2,3.939,1.683,3.884,3.638,4.976,5.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02116,9.132,4.958,1.973,12.96,1.091,0.7793,0.2143,0.4888,0.2286,
0.0,0.02008,371.8,674.9,380.6,0.809,18.06,39.2,36.14,48.95,58.5,0.0,0.0675,1.64,9.507,8.546,3.167,5.937,16.75,15.6,34.25,26.07,0.0,0.0675,1.64,9.507,8.546,3.167,5.937,16.75,15.6,34.25,26.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.89,11.34,6.836,327.5,3.411,2.891,3.532,3.67,4.922,0.0,10.13,23.14,32.0,194.6,131.5,1.083,0.7551,1.107,1.546,1.366,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.184E-4,0.0,199.3,44330.0,19400.0,15600.0,910800.0,11690.0,12210.0,7422.0,11030.0,10810.0,0.0,1.9E-35,6.651000000000001E-34,2.872E-33,1.398E-33,4.639E-34,7.675E-34,1.815E-32,2.6570000000000002E-34,9.162999999999999E-33,5.063E-34,0.01,0.0,0.4266,28.67,74.89,29.71,3.951,1.265,3.873,3.636,4.921,5.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02116,9.069,4.997,1.947,12.9,1.114,0.7875,0.215,0.5339,0.242,
0.0,0.02008,372.3,675.2,388.1,0.7586,18.06,39.18,36.14,48.95,58.5,0.0,0.0675,1.564,9.656,8.542,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.0675,1.564,9.656,8.542,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19,10.56,6.764,321.3,3.347,2.868,3.474,3.658,4.859,0.0,10.13,23.65,30.18,187.2,131.9,1.106,0.783,1.12,1.603,1.396,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.141E-4,0.0,199.3,45270.0,17920.0,15450.0,935800.0,11780.0,12460.0,7595.0,11270.0,11110.0,0.0,1.9E-35,6.615000000000001E-34,2.873E-33,1.3009999999999999E-33,4.615E-34,7.604E-34,1.815E-32,2.653E-34,9.162E-33,5.06E-34,0.01,0.0,0.4266,28.49,75.25,29.71,3.829,1.257,3.867,3.631,4.904,5.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02116,9.106,4.918,1.949,12.91,1.116,0.7886,0.2158,0.5373,0.2439,
0.0,0.02008,372.3,676.3,395.2,0.7358,18.06,39.16,36.14,48.93,58.5,0.0,0.0675,1.564,9.656,8.542,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.0675,1.564,9.656,8.542,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.16,10.55,6.716,318.5,3.317,2.84,3.445,3.628,4.815,0.0,10.13,23.63,29.08,180.1,131.9,1.107,0.8108,1.12,1.617,1.397,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,199.3,47040.0,18590.0,15620.0,986600.0,12240.0,13010.0,7952.0,11760.0,11670.0,0.0,1.9E-35,6.615000000000001E-34,2.864E-33,1.2239999999999999E-33,4.615E-34,7.532E-34,1.814E-32,2.649E-34,9.162E-33,5.059000000000001E-34,0.01,0.0,0.4266,28.49,75.25,29.71,3.829,1.257,3.867,3.631,4.904,5.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02116,9.102,4.917,1.948,12.91,1.115,0.7884,0.2157,0.5369,0.2436,
0.0,0.02008,372.2,676.7,399.0,0.7282,18.06,39.12,36.14,48.91,58.5,0.0,0.0675,1.564,9.656,8.542,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.0675,1.564,9.656,8.542,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.12,10.54,6.7,316.7,3.282,2.834,3.428,3.617,4.79,0.0,10.13,23.76,28.67,176.2,131.9,1.108,0.847,1.121,1.636,1.398,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.128E-4,0.0,199.3,49400.0,19380.0,15990.0,1037000.0,12750.0,13590.0,8332.0,12310.0,12270.0,0.0,1.9E-35,6.614E-34,2.856E-33,1.166E-33,4.615E-34,7.469000000000001E-34,1.814E-32,2.646E-34,9.162E-33,5.058E-34,0.01,0.0,0.4266,28.49,75.25,29.71,3.829,1.257,3.867,3.631,4.904,5.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02116,9.1,4.916,1.948,12.9,1.115,0.7884,0.2156,0.5367,0.2435,
0.0,3.112,372.0,676.9,398.1,0.7244,18.06,39.08,36.14,48.89,58.5,0.0,0.1802,1.564,9.656,8.43,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.1802,1.564,9.656,8.43,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,10.54,6.698,315.8,3.254,2.829,3.422,3.61,4.772,0.0,10.13,23.96,28.49,174.0,131.9,1.109,0.8878,1.121,1.657,1.399,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.143E-4,0.0,224.5,51270.0,20090.0,16310.0,1058000.0,12510.0,14000.0,8519.0,12630.0,12350.0,0.0,2.582E-35,6.614E-34,2.848E-33,1.115E-33,4.615E-34,7.412E-34,1.814E-32,2.642E-34,9.162E-33,5.057E-34,0.01,0.0,0.8082,28.49,75.25,29.33,3.829,1.257,3.867,3.631,4.904,5.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04209,9.094,4.915,1.927,12.89,1.115,0.7881,0.2154,0.5361,0.2431,
0.0,3.112,371.6,677.3,400.0,0.7214,18.06,39.0,36.14,48.85,58.49,0.0,0.1802,1.564,9.656,8.43,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.1802,1.564,9.656,8.43,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08,10.54,6.696,314.9,3.227,2.824,3.416,3.602,4.754,0.0,10.13,24.31,28.05,172.1,131.9,1.111,0.9649,1.122,1.697,1.401,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,224.5,53730.0,20930.0,16910.0,1096000.0,12440.0,14650.0,8855.0,13160.0,12620.0,0.0,2.582E-35,6.614E-34,2.838E-33,1.078E-33,4.615E-34,7.359E-34,1.8130000000000001E-32,2.638E-34,9.162E-33,5.056E-34,0.01,0.0,0.8082,28.49,75.25,29.33,3.829,1.257,3.867,3.631,4.904,5.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04209,9.09,4.914,1.927,12.89,1.115,0.788,0.2153,0.5357,0.2428,
0.0,3.112,372.2,677.9,418.4,0.7229,18.06,39.07,36.14,48.89,58.5,0.0,0.1802,1.564,9.656,8.43,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.1802,1.564,9.656,8.43,3.117,5.933,16.75,15.59,34.24,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.06,10.53,6.683,313.9,3.219,2.824,3.405,3.599,4.747,0.0,10.13,23.72,27.48,153.7,131.9,1.109,0.8956,1.121,1.661,1.399,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,224.5,54400.0,20740.0,15930.0,1057000.0,12400.0,14100.0,8561.0,12880.0,12410.0,0.0,2.582E-35,6.614E-34,2.828E-33,1.0489999999999999E-33,4.615E-34,7.303000000000001E-34,1.8130000000000001E-32,2.633E-34,9.162E-33,5.056E-34,0.01,0.0,0.8082,28.49,75.25,29.33,3.829,1.257,3.867,3.631,4.904,5.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04209,9.086,4.913,1.927,12.89,1.115,0.7879,0.2152,0.5354,0.2426,
